signal_date,confirm_date,ts_code,name,industry,signal_score,rs20_xsec_q,atr_ratio_q60,box_range,pivot,entry_price,confirm_open,stop_loss,signal_grade,volume_ratio,ret_t1,ret_t1_open,ret_t2,ret_t2_open,ret_t3,ret_t3_open
20260112,20260113,603889.SH,新澳股份,纺织,60.75,0.8420056764427626,0.43333333333333335,0.07462686567164173,8.26,8.28,8.87,7.88,A,2.38,0.09420289855072483,0.021420518602029537,0.07487922705314021,0.0033821871476888976,0.07608695652173925,0.004509582863585271
20260115,20260116,600487.SH,亨通光电,通信设备,79.7,0.9064566929133858,0.36666666666666664,0.06463267763950219,25.39,25.44,25.29,24.31,B,1.09,0.06446540880503138,0.07077896401739814,0.09198113207547176,0.0984578884934757,0.09944968553459099,0.10597073942269675
20260116,20260119,600487.SH,亨通光电,通信设备,78.84,0.8551181102362204,0.3333333333333333,0.06281701131486538,25.39,25.44,26.91,24.35,A,1.5,0.09198113207547176,0.03232998885172811,0.09944968553459099,0.039390561129691415,0.06092767295597468,0.0029728725380899768
20260116,20260119,603500.SH,祥和实业,运输设备,69.72,0.8198425196850394,0.08333333333333333,0.07793209876543208,12.83,12.86,12.96,12.49,B,1.1,0.043545878693623585,0.03549382716049365,0.0738724727838258,0.06558641975308643,0.06531881804043538,0.057098765432098686
20260119,20260120,001287.SZ,中电港,元器件,68.46,0.8079345088161209,0.36666666666666664,0.07741676694745286,24.7,24.75,24.83,23.87,A,1.4,0.06101010101010118,0.05759162303664933,0.05252525252525264,0.0491341119613371,0.06585858585858584,0.06242448650825616
20260120,20260121,603098.SH,森特股份,装修装饰,74.02,0.8254167977351369,0.016666666666666666,0.06598639455782318,14.8,14.83,14.72,14.38,B,1.18,0.022926500337154376,0.030570652173913082,0.061362103843560334,0.06929347826086962,0.06405933917734319,0.0720108695652173
20260120,20260121,605111.SH,新洁能,半导体,63.29,0.8096885813148789,0.43333333333333335,0.07016632016632024,38.43,38.51,38.1,37.17,B,1.14,0.1023110880290834,0.11417322834645671,0.11139963645806272,0.12335958005249337,0.12204622176058177,0.13412073490813636
20260121,20260122,603798.SH,康普顿,石油加工,69.89,0.8401007239534152,0.26666666666666666,0.07808142777467943,17.35,17.38,18.2,16.53,B,1.04,0.06501726121979301,0.017032967032967194,-0.0414269275028768,-0.08461538461538454,-0.09436133486766396,-0.13516483516483513
20260204,20260205,601872.SH,招商轮船,水运,78.31,0.9672955974842767,0.43333333333333335,0.07916666666666676,11.64,11.66,12.0,10.97,B,1.05,-0.025728987993139052,-0.053333333333333344,0.030874785591766596,0.0016666666666667052,0.05660377358490565,0.026666666666666616
20260209,20260210,600163.SH,中闽能源,新型电力,68.09,0.8058527375707992,0.21666666666666667,0.05657237936772044,6.02,6.03,6.21,5.82,B,1.1,0.0016583747927030323,-0.027375201288244777,0.018242122719734466,-0.011272141706924366,-0.009950248756218971,-0.03864734299516914
20260224,20260225,600929.SH,雪天盐业,食品,71.98,0.8440741905061302,0.38333333333333336,0.043548387096774124,6.22,6.23,6.22,6.05,A,1.25,0.05617977528089879,0.05787781350482324,0.052969502407704594,0.05466237942122176,0.052969502407704594,0.05466237942122176
20260225,20260226,600929.SH,雪天盐业,食品,73.18,0.8622208241585404,0.43333333333333335,0.04545454545454546,6.24,6.25,6.44,6.05,A,1.22,0.049599999999999866,0.01863354037267073,0.049599999999999866,0.01863354037267073,0.02400000000000002,-0.006211180124223614
20260226,20260227,600510.SH,黑牡丹,全国地产,65.57,0.8672120830711139,0.4666666666666667,0.07264150943396222,9.99,10.01,10.77,9.49,A,1.64,-0.020979020979020935,-0.09006499535747436,-0.06593406593406592,-0.13184772516248844,-0.08391608391608385,-0.14856081708449398
