watch_date,ts_code,name,signal_score,close,pivot,trigger_price,stop_loss,rs20_xsec_q,box_range_pct,industry
20251226,000766.SZ,通化金马,87.75,28.32,28.93,28.99,28.19,0.929,6.29,化学制药
20251226,601168.SH,西部矿业,82.1,27.47,26.38,26.43,25.32,0.9294,7.57,铜
20251226,603766.SH,隆鑫通用,81.29,15.88,16.5,16.53,15.87,0.852,7.24,摩托车
20251226,000737.SZ,北方铜业,80.66,15.53,14.92,14.95,14.31,0.9416,7.53,铜
20251226,000708.SZ,中信特钢,80.11,16.05,16.0,16.03,15.54,0.9439,6.85,特种钢
20251226,001216.SZ,华瓷股份,76.9,17.12,17.61,17.65,17.12,0.8421,7.18,家居用品
20251226,001286.SZ,陕西能源,75.29,9.92,10.15,10.17,9.97,0.8136,3.02,火力发电
20251226,000612.SZ,焦作万方,72.98,10.98,10.45,10.47,9.99,0.8864,7.74,铝
20251226,000630.SZ,铜陵有色,72.93,5.93,5.64,5.65,5.4,0.9081,7.76,铜
20251226,000952.SZ,广济药业,72.47,7.19,7.55,7.57,7.26,0.8403,5.98,化学制药
20251226,601689.SH,拓普集团,72.36,71.29,72.45,72.59,69.69,0.8796,7.64,汽车配件
20251226,000899.SZ,赣能股份,67.92,10.28,10.35,10.37,10.12,0.8,6.61,火力发电
20251226,600057.SH,厦门象屿,64.36,8.86,8.84,8.86,8.5,0.8059,7.34,仓储物流
20251226,000425.SZ,徐工机械,64.11,11.24,11.4,11.42,11.02,0.8303,7.56,工程机械
20251226,601717.SH,中创智领,62.19,24.56,25.05,25.1,24.31,0.8086,7.29,专用机械
20251229,601689.SH,拓普集团,71.5,71.95,72.45,72.59,69.64,0.8672,7.57,汽车配件
20251229,600885.SH,宏发股份,70.59,30.7,31.48,31.54,30.46,0.8399,5.7,电气设备
20251229,603885.SH,吉祥航空,68.33,14.25,14.45,14.48,13.98,0.8225,8.0,空运
20251229,000425.SZ,徐工机械,68.11,11.26,11.38,11.4,11.01,0.8859,7.37,工程机械
20251230,000935.SZ,四川双马,78.37,25.0,26.02,26.07,24.97,0.8615,7.0,水泥
20251230,600885.SH,宏发股份,72.75,30.62,31.48,31.54,30.48,0.8448,5.72,电气设备
20251230,600909.SH,华安证券,68.87,6.78,6.85,6.86,6.69,0.815,6.05,证券
20251230,000425.SZ,徐工机械,67.28,11.33,11.44,11.46,11.06,0.8286,7.86,工程机械
20251231,000935.SZ,四川双马,78.96,24.84,26.02,26.07,24.98,0.8861,7.05,水泥
20251231,600885.SH,宏发股份,74.56,30.4,31.48,31.54,30.51,0.8194,5.39,电气设备
20251231,600869.SH,远东股份,73.53,8.05,8.08,8.1,7.76,0.9225,7.08,电气设备
20251231,600909.SH,华安证券,70.1,6.78,6.85,6.86,6.69,0.8083,6.05,证券
20251231,603885.SH,吉祥航空,69.97,14.88,14.45,14.48,13.89,0.8576,5.65,空运
20260105,000935.SZ,四川双马,79.11,25.44,26.02,26.07,25.0,0.8754,6.76,水泥
20260105,600885.SH,宏发股份,76.24,30.83,31.48,31.54,30.55,0.8299,5.32,电气设备
20260105,600869.SH,远东股份,74.83,8.21,8.13,8.15,7.8,0.9216,6.94,电气设备
20260105,601688.SH,华泰证券,74.79,24.35,24.1,24.15,23.19,0.8969,5.38,证券
20260105,000776.SZ,广发证券,73.38,22.87,22.56,22.61,21.91,0.809,4.77,证券
20260105,600909.SH,华安证券,71.57,6.91,6.85,6.86,6.69,0.8084,5.79,证券
20260105,603379.SH,三美股份,70.91,58.93,61.18,61.3,59.4,0.8024,7.09,化工原料
20260105,600312.SH,平高电气,66.73,17.99,18.25,18.29,17.67,0.8106,6.06,电气设备
