signal_date,ts_code,ret_t1,ret_t2,ret_t3
20260227,603619.SH,0.10929264909847447,0.22024965325936208,0.30513176144244114
20260227,603466.SH,-0.10813008130081303,-0.14227642276422758,-0.1495934959349593
20260302,603256.SH,-0.0436487854251012,-0.06148785425101211,-0.08476720647773284
20260302,605006.SH,-0.06706706706706711,-0.04504504504504514,-0.05005005005005003
20260303,002283.SZ,-0.08223062381852542,-0.051039697542533125,-0.03497164461247626
20260304,600172.SH,0.09030837004405279,0.052863436123347984,0.008810572687224738
20260304,601869.SH,-0.015471415347996564,-0.06025477145501834,-0.06594084718120508
20260305,600522.SH,-0.06584783350392354,-0.07198908222449674,-0.013988399863527845
20260306,002008.SZ,-0.049642406394615146,0.023839573692329363,0.014584209788248481
20260306,002348.SZ,0.05644171779141094,0.08220858895705518,0.09079754601226986
20260309,002655.SZ,0.0362448009506835,0.03267973856209161,0.017231134878193943
20260309,603738.SH,0.006723442402510216,0.026445540116539767,0.03316898251904976
20260310,603530.SH,-0.009175627240143425,-0.0283870967741936,-0.048315412186380025
20260310,603393.SH,0.13423959218351733,0.2124044180118947,0.19342962333616542
20260311,600875.SH,-0.04776470588235293,-0.0964705882352942,-0.0887058823529413
20260311,600722.SH,0.26022913256955804,0.38625204582651396,0.5057283142389524
20260312,002272.SZ,-0.09223300970873793,-0.07184466019417479,-0.13883495145631086
20260312,600590.SH,-0.09375,-0.10375000000000001,-0.12250000000000005
20260313,600545.SH,0.06852791878172582,0.1751269035532994,0.12944162436548234
20260313,001339.SZ,0.005762473647224153,-0.03696416022487714,-0.00913562895291642
20260316,600470.SH,0.04347826086956541,-0.059929494712103404,-0.11750881316098705
20260316,600172.SH,-0.1301044634377967,-0.13770180436847101,-0.19943019943019946
20260317,605117.SH,-0.031212121212121247,-0.03022727272727277,0.06590909090909092
20260317,603629.SH,-0.014806559465053382,0.08374462665180693,-0.024677599108422266
20260318,000545.SZ,-0.09207161125319696,-0.15856777493606145,-0.18414322250639392
20260318,002903.SZ,-0.054398925453324365,-0.08898589657488254,-0.15077233042310278
20260319,601016.SH,0.04460093896713624,0.04694835680751175,0.15258215962441324
20260319,002733.SZ,-0.01629169899146632,0.005042668735453892,0.06245151280062067
20260320,603175.SH,-0.16080402010050254,-0.1417726932535016,-0.05591788730888492
20260320,002382.SZ,-0.06443618339529122,-0.028500619578686548,-0.02726146220570025
20260323,601016.SH,0.13921113689095144,0.2529002320185616,0.23201856148491884
20260323,000010.SZ,-0.006696428571428603,-0.0022321428571430157,-0.04241071428571441
20260324,002432.SZ,0.0428945645055665,0.0216110019646365,0.12377210216110024
20260324,601218.SH,0.1328671328671327,0.020979020979020824,-0.034965034965035
20260325,605286.SH,-0.02658279220779225,-0.04788961038961037,-0.10288149350649356
20260325,605117.SH,-0.013602885916128127,-0.024274763264692578,-0.022020141289643802
20260326,601015.SH,-0.0563909774436091,-0.046992481203007475,-0.13157894736842113
20260326,600643.SH,-0.009671179883945835,-0.03675048355899413,-0.09477756286266925
20260327,001258.SZ,-0.07347328244274809,-0.12881679389312972,-0.13167938931297718
20260330,601016.SH,-0.12295081967213106,-0.12704918032786883,-0.1741803278688524
20260330,000539.SZ,-0.13762811127379215,-0.143484626647145,-0.17862371888726203
20260331,002730.SZ,0.1986019736842104,0.2125822368421051,0.15583881578947367
20260331,603929.SH,-0.010765358041883277,-0.0433292271436988,-0.050399014514487694
